v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
134,73,38,59,43,94,119,58,41,62,37,146,82,101,106,7,28210
18,19,141,103,27,131,81,82,149,78,37,39,89,87,58,111,31175
18,149,27,89,141,37,81,58,19,78,131,87,103,39,82,111,31175
37,39,149,78,58,111,89,87,141,103,18,19,81,82,27,131,31175
37,141,58,81,149,18,89,27,39,103,111,82,78,19,87,131,31175
78,149,39,37,87,89,111,58,19,18,103,141,131,27,82,81,31175
78,19,87,131,39,103,111,82,149,18,89,27,37,141,58,81,31175
81,82,27,131,141,103,18,19,58,111,89,87,37,39,149,78,31175
81,58,141,37,27,89,18,149,82,111,103,39,131,87,19,78,31175
89,87,58,111,149,78,37,39,27,131,81,82,18,19,141,103,31175
89,27,149,18,58,81,37,141,87,131,78,19,111,82,39,103,31175
103,141,19,18,82,81,131,27,39,37,78,149,111,58,87,89,31175
103,39,82,111,19,78,131,87,141,37,81,58,18,149,27,89,31175
111,58,87,89,39,37,78,149,82,81,131,27,103,141,19,18,31175
111,82,39,103,87,131,78,19,58,81,37,141,89,27,149,18,31175
131,27,82,81,19,18,103,141,87,89,111,58,78,149,39,37,31175
131,87,19,78,82,111,103,39,27,89,18,149,81,58,141,37,31175
2,43,164,101,131,116,67,62,133,142,29,16,64,59,82,157,38950
2,133,131,64,164,29,67,82,43,142,116,59,101,16,62,157,38950
29,16,133,142,82,157,64,59,164,101,2,43,67,62,131,116,38950
29,164,82,67,133,2,64,131,16,101,157,62,142,43,59,116,38950
64,59,82,157,133,142,29,16,131,116,67,62,2,43,164,101,38950
64,131,133,2,82,67,29,164,59,116,142,43,157,62,16,101,38950
67,62,131,116,164,101,2,43,82,157,64,59,29,16,133,142,38950
67,82,164,29,131,64,2,133,62,157,101,16,116,59,43,142,38950
101,164,43,2,62,67,116,131,16,29,142,133,157,82,59,64,38950
101,16,62,157,43,142,116,59,164,29,67,82,2,133,131,64,38950
116,131,62,67,43,2,101,164,59,64,157,82,142,133,16,29,38950
116,59,43,142,62,157,101,16,131,64,2,133,67,82,164,29,38950
142,133,16,29,59,64,157,82,43,2,101,164,116,131,62,67,38950
142,43,59,116,16,101,157,62,133,2,64,131,29,164,82,67,38950
157,82,59,64,16,29,142,133,62,67,116,131,101,164,43,2,38950
157,62,16,101,59,116,142,43,82,67,29,164,64,131,133,2,38950
10,38,174,105,135,126,62,70,138,150,25,26,74,55,90,162,42845
10,138,135,74,174,25,62,90,38,150,126,55,105,26,70,162,42845
25,26,138,150,90,162,74,55,174,105,10,38,62,70,135,126,42845
25,174,90,62,138,10,74,135,26,105,162,70,150,38,55,126,42845
62,70,135,126,174,105,10,38,90,162,74,55,25,26,138,150,42845
62,90,174,25,135,74,10,138,70,162,105,26,126,55,38,150,42845
74,55,90,162,138,150,25,26,135,126,62,70,10,38,174,105,42845
74,135,138,10,90,62,25,174,55,126,150,38,162,70,26,105,42845
105,174,38,10,70,62,126,135,26,25,150,138,162,90,55,74,42845
105,26,70,162,38,150,126,55,174,25,62,90,10,138,135,74,42845
126,135,70,62,38,10,105,174,55,74,162,90,150,138,26,25,42845
126,55,38,150,70,162,105,26,135,74,10,138,62,90,174,25,42845
150,138,26,25,55,74,162,90,38,10,105,174,126,135,70,62,42845
150,38,55,126,26,105,162,70,138,10,74,135,25,174,90,62,42845
162,90,55,74,26,25,150,138,70,62,126,135,105,174,38,10,42845
162,70,26,105,55,126,150,38,90,62,25,174,74,135,138,10,42845
